Year,Gross
(2013–2014),4298
(2015– ),3033
(2021),5061
(2021– ),2301
(2011),2169
(2021– ),3799
(1985–1991),11530
(2023– ),540
(2011 Video),641
(2015),4291
(2018),11171
(2007),14620
(2022–2023),1017
(2023– ),115
(2021),4362
(2014–2015),559
(2022),2214
(1993 TV Movie),19146
(2018),10572
(1998),5039
(1998 Video),16660
(2011–2012),7463
(2004),8358
(2022–2023),1953
(2021– ),1824
(1988–1991),4552
(1994),9589
(1967–1968),3207
(1984–1985),5037
(2001 Video),13133
(2015),11694
(2018),3849
(2023),631
(2021),2788
(1979–1980),2593
(2013),29225
(2014),17482
(2023– ),1345
(1990–1991),15570
(2011),14390
(2019),14955
(1992–1994),5799
(2012–2016),4557
(1999),40357
(2022– ),2411
(2015–2016),7486
(2019),3932
(1991–1992),17213
(2022),7251
(1979),32210
(1993–2002),1676
(2006),6240
(2010),7672
(2007),17759
(2007–2008),10020
(2023),1214
(2023– ),124
(2023),0
(2023– ),191
(2008–2009),11916
(2013– ),3705
(2023),46
(2009),23692
(2007–2010),12245
(2023– ),141
(2021– ),5621
(2016–2017),4948
(2018),7680
(2021),3768
(2005),57422
(2016–2018),5890
(2009),6625
(2009–2011),4743
(2018–2023),7156
(2020– ),6178
(2020),7450
(2023),123
(2015),16500
(2017),6195
(2008),3502
(2016),6173
(2019),3437
(2016),22755
(2012),5775
(2012–2014),4512
(2020),4955
(2014–2015),4632
(2011),3293
(2020),436
(2010),9735
(II) (2000–2004),3484
(2021),3722
(2020– ),2438
(2021– ),4191
(2022),955
(2023),764
(2018– ),1512
(2009),31041
(2015–2018),458
(2013),2979
(2021– ),5152
(2018),17331
(2023– ),59
(2003– ),1250
(2021–2022),2254
(2021– ),5813
(2008 Video),29720
(2000),14815
(2009–2013),2147
(2023),1004
(2015–2016),3398
(2015–2023),274
(2007–2011),3535
(2023– ),119
(2023– ),86
(2017),4766
(I) (2019),3625
(2015),25868
(1999),23265
(2018–2019),1870
(I) (2004),39634
(2016),11970
(2014),4433
(2023),643
(2023),1432
(2018–2021),4053
(2017– ),3911
(2011),16466
(2022– ),1372
(2012),21901
(2016),9488
(2001),9086
(2007–2008),12380
(2006),7539
(2021),1422
(2015),3172
(2005–2023),10555
(1999),15698
(2019– ),2101
(2014),5795
(1993),5666
(2012),11711
(2015),292
(2006),14216
(2023– ),637
(2000),6709
(2020– ),2819
(2023– ),0
(2019),4358
(I) (2004),10296
(2021– ),2005
(2001),22166
(2018),2617
(2000),19854
(1986),3072
(2004),14778
(2007),2740
(1993),11512
(2023),367
(1984–1988),3426
(2008),32633
(1978),4706
(2021– ),4325
(2005),2567
(2019– ),930
(2016 Video),187
(2015–2017),2444
(1985–1986),4431
(2015–2017),2008
(1983–1995),7133
(2012),11479
(2004),18361
(2008–2011),2351
(2014– ),3865
(2011),15183
(2023– ),499
(1989),5430
(2019),5778
(2017),15430
(2017),2031
(2009),467
(2023),918
(2011–2013),2589
(2009),2968
(1989),3506
(2023– ),134
(2022– ),3804
(2007–2011),3222
(2018– ),5336
(2016– ),3686
(2020),1411
(2019–2021),6275
(2002 Video),10228
(1970),784
(2014– ),2355
(1995–1996),4743
(2013),2204
(2021),1807
(2014),16883
(1997),15145
(2023– ),0
(2023– ),199
(2022),1279
(1990–1992),4469
(2016),4280
(2002 Video),7584
(2023– ),91
(2011–2014),547
(2023– ),73
(2008),530
(2020),1723
(2012),17360
(2012),1930
(2021– ),1861
(2020– ),3081
(2018),11839
(2020– ),586
(2016),3355
(2006–2009),8881
(2020–2023),1216
(1998–2001),2669
(2016–2017),994
(2014–2015),572
(1985),3902
(2018),21515
(2012–2014),4593
(1991),3011
(I) (2017),2254
(2019),3530
(2021– ),3000
(2020– ),1177
(1998–2000),5392
(2022),4663
(1974 TV Movie),10805
(2009– ),3354
(2000),7756
(2017),7263
(2020–2023),547
(2019– ),2796
(2007–2009),2493
(2015),23369
(2017–2023),2615
(2008),89
(2010),4690
(2023),249
(2012),4525
(2017 Video),9366
(2013– ),2694
(2020–2021),691
(2019),6059
(2018– ),1356
(2017),3787
(1988 Video),3452
(2011–2012),5460
(2022– ),1044
(2023),74
(2021– ),1279
(2014–2015),2613
(2008–2010),2642
(1992–1993),9103
(2007),4548
(1993),12797
(2014–2016),3914
(2006),10960
(2008–2010),1533
(2004–2008),5050
(2010),1505
(2001–2005),6291
(2015),2860
(2015),17138
(2020– ),1146
(2008–2017),2336
(2018–2022),808
(2012–2013),3491
(2010),408
(2010–2011),3746
(1970 TV Movie),16365
(2022),708
(2010),6785
(1969),785
(2002–2006),5775
(1992–2005),2189
(2018),2532
(1981–1986),1187
(2010),2258
(2019),9234
(2022– ),1436
(2023– ),0
(2017),4946
(2021– ),3107
(2008),5609
(2014),4452
(2017),8723
(2003),15255
(2015–2017),1479
(2007),2571
(2022– ),1059
(2021– ),707
(2016–2017),6800
(2021– ),1119
(2022),1447
(2020),6793
(2017–2022),4884
(2020),3007
(2011),1720
(2012–2013),1040
(2013),2821
(2019),3266
(2016 TV Movie),1433
(2007–2009),2584
(2001),2669
(2005),4207
(2016),1441
(2013– ),4574
(2004–2005),986
(2006–2008),4440
(2022),668
(2019),4909
(2014–2015),4545
(2020),14610
(2004),7604
(2022),1398
(2023),667
(2020),4938
(2022– ),373
(2015–2016),3888
(2022),321
(2021),805
(2018– ),3628
(2014–2015),1096
(2023),0
(2023– ),75
(2010–2011),2783
(2019– ),1139
(2015),2029
(2022– ),1402
(2020),2110
(2018),214
(1997),1919
(2001–2005),6618
(2016),3013
(2010),2786
(2007 Video),3907
(2023– ),324
(2010),15542
(2007),5450
(1978–1980),2150
(2006–2014),2309
(1987–1990),1753
(1977–1980),1887
(2000 Video),5352
(2022– ),2569
(2005),11885
(2017–2018),472
(2023– ),191
,0
(2001),6070
(2023– ),125
(2018),834
(2022– ),898
(1986),3184
(1988–1989),1874
(2015 Video),28
(2017),5906
(2021– ),2199
(2016– ),879
(2003–2004),8071
(2010),7731
(2017),9029
(2020– ),381
(1972–1974),1457
(2003),2414
(2022),2305
(2005),4871
(2008–2009),4809
(2018),2219
(1999),15233
(2017– ),1892
(2020– ),2088
(2018–2019),739
(2017),315
(1995),11625
(1967),3432
(2021– ),1150
(1985–1986),1435
(2009–2010),2006
(2022– ),472
(2019– ),1130
(2006),1544
(2017),3387
(2008),14973
(1981–1982),2305
(2022– ),332
(1989),1167
(2021– ),960
(I) (2021– ),1376
(2021),1804
(2017),8709
(2016–2018),3148
(2018),1726
(2003–2004),5211
(2003),2987
(2015–2016),2348
(2008–2019),2195
(2023– ),610
(1996–2013),1782
(2018),61
(2012),1398
(2004),4327
(2023– ),676
(1999–2000),6727
(2017),2572
(2021– ),1770
(2021),1928
(2013),9183
(2021),3173
(2023– ),457
(1989–1994),1280
(2020– ),2185
(1979–2005),4735
(2020),6669
(2023– ),0
(2009 TV Movie),9257
(2021),1758
(2019–2022),2135
(1990–1991),2751
(2000),13051
(2016),3171
(2013–2015),1634
(1991),7869
(2020),3342
(2021),1881
(2003),8408
(2009),2813
(2019),3228
(2010–2011),3513
(2023– ),0
(1971),6112
(1987–1991),1500
(2013–2014),2768
(2022),289
(I) (2020),1828
(2012–2013),1091
(1984),3327
(2017),368
(2017),13568
(2016),3448
(2021),2734
(2020),1754
(2001),1061
(2014– ),3084
(2015),2615
(2013–2022),1780
(2018– ),1439
(1995),3070
Year,0
(1999– ),187689
(2023),28895
(2023),189108
(2013–2023),434457
(2020– ),82909
(2022– ),28587
(2019– ),131667
(2022),153495
(2004–2023),64528
(2015– ),14322
(2007–2017),145484
(2009),250338
(2021– ),3358
(2023),829
(2002–2007),117447
(2021– ),16154
(2019– ),58698
(2021),78880
(2023– ),2118
(2001),807955
(2011–2014),119287
(2023),6046
(2016– ),72700
(2006–2007),355048
(2004),422995
(1995),1035690
(2024),0
(2023– ),1421
(2022– ),43330
(2016),182717
(2004),777481
(I) (2015),752291
(2018–2020),7905
(1989–1996),140671
(I) (2017),552656
(2017–2021),30863
(2003),1082005
(2009–2010),185053
(2012– ),30645
(2016),297948
(2010),477174
(2009),1088519
(2023),5758
(1997),245703
(2015–2019),176198
(2022),5242
(2017– ),26414
(2008),1162284
(1998),305992
(1989),282153
(1997–1998),46866
(2022),51787
(1991),469561
(2023– ),0
(2004–2005),38631
(1988),294819
(1992),447252
(2009),158709
(1998),304685
(1997–2023),45855
(2020),355953
(1998–1999),130513
(2010),868393
(1997),414846
(1997),87360
(1999),239057
(2014),485085
(2022),25792
(2018),317085
(2012),444285
(2012),429432
(1995–1996),78730
(2022),15201
(2002),203819
(2022– ),32062
(2016),211442
(2017),113161
(2001),128780
(2015–2018),33539
(2011),206725
(2005–2021),13783
(2023– ),3841
(2021– ),22189
(1988),360726
(2000),216870
(I) (1995),197116
(2019),185430
(1999),603780
(1988),197226
(2023– ),8402
(2023– ),6207
(2014–2020),31351
(2018),182832
(2022),117839
(2013),377449
(2024),0
(2001–2007),1947
(I) (2020),161752
(2002),127617
(2016– ),8420
(2018),174484
(2006–2008),75288
(1986–1989),62616
(2006),90584
(2019),142317
(2016–2022),40175
(2021– ),22575
(1996),166476
(2021),28005
(2013),415260
(1995),150953
(2022),42585
(2008),154350
(1989),155616
(2016– ),21918
(2008),222326
(2014–2021),35861
(2011–2015),68941
(2016),93393
(2013),92716
(2019– ),25004
(2014),60399
(2012– ),49959
(2009–2019),26726
(2015),123052
(2007),107430
(2022– ),3704
(2017– ),13715
(2020– ),7371
(2012–2018),12536
(1996– ),14534
(2023– ),497
(2021– ),7987
(1986),174811
(2005),97812
(2019–2021),43657
(1984),176445
(1995–2003),63122
(2019– ),17750
(2021),12801
(2016),54217
(2003),118891
(2014– ),44346
(2000),64991
(2022– ),10417
(2019–2021),7984
(2020),67605
(2018– ),13330
(2019),50543
(2016–2017),6943
(2002),61059
(2014),27614
(2014–2018),34798
(2017– ),10756
(2018),25578
(2018),26871
(1997),60315
(2022– ),11835
(1990),45662
(2009–2015),23873
(2023– ),3136
(2024),0
(2012– ),21134
(2010),14695
(2003–2004),74876
(2019– ),9806
(1994–1997),17845
(2021–2022),6503
(1992),96377
(2006),16859
(2010),98939
(2022– ),2066
(2023),8585
(2004–2005),52784
(2013–2016),19189
(2022),13092
(1998),15901
(2018– ),9193
(2021),15463
(2015– ),12403
(2000),62971
(2004),35523
(I) (2000–2006),22571
(2020–2023),4493
(2018),30266
(1995),68308
(1982),28506
(2011),27241
(1992–1997),7089
(2015– ),9589
(2000–2004),17281
(1996–1998),20084
(2000–2002),8486
(2016–2023),13425
(1984–1987),23050
(2021– ),4277
(2000),34182
(1977 TV Movie),15649
(2022–2023),2239
(1989–1996),84577
(2018–2019),14968
(2019– ),15773
(2019),17644
(2023),6594
(2006–2012),25363
(1992–1995),14779
(2018– ),2970
(2015–2020),11502
(2013),50932
(2019– ),5776
(1986),41244
(2004 Video),28097
(2018),12552
(2014),44875
(2023– ),628
(1983),8772
(2013– ),8226
(1993–1996),6805
(2015–2016),6938
(2009),16065
(2013),49703
(2023– ),1205
(2006),42375
(1998),44853
(2009),38760
(2019),41112
(2019– ),11527
(2023– ),279
(1993),39405
(2011–2012),14139
(2007),61614
(2021– ),10984
(2012– ),2740
(2011),48647
(2007),19970
(1995),20197
(2021),12785
(1985),16840
(2016),16141
(2021– ),8308
,0
(1999–2007),22880
(2018),21316
(1987–1990),33963
(1994 Video),30610
(2013–2023),8083
(2022),4541
(2000),4481
(2023– ),529
(2017– ),3043
(2023– ),3087
(2017–2019),11830
(2020 TV Movie),5219
(2011),36161
(2022– ),3349
(2021–2022),3131
(2022– ),1375
(1988–1997),4201
(2022– ),1055
(2018),7507
(2003),80812
(2007),17701
(1998),23288
