Year,Gross
(2006– ),0
(2006– ),0
(2004–2005),23
(2004–2005),22
(2004–2005),18
(2004–2005),28
(2004–2005),22
(2004–2005),22
(1986–1988),21
(2006– ),0
(2004–2005),31
(2004–2005),27
(2004–2005),27
(2004–2005),25
(2004–2005),24
(2004–2005),28
(2004–2005),28
(2004–2005),24
(2004–2005),22
(2004–2005),22
(2004–2005),21
(2004–2005),21
(2004–2005),29
(2004–2005),47
(2004–2005),21
(2004–2005),35
(2004–2005),26
(1986–1988),21
(2000–2004),88
(2007),7
(2007),7
(2007),7
(2007),8
(1998–1999),0
(2006),10
(2006),11
(2006),11
(2006),10
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2007),7
(2007),11
(2007),8
(2007),7
(2006),12
(2006),12
(2006),11
(2006),11
(2006),12
(2006),10
(2006),10
(2006),11
(2006),0
(1999– ),810
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(1989–1996),1286
(1989–1996),1288
(1989–1996),1290
(1996– ),71
(1996– ),71
(1999– ),730
(1999– ),758
(1999– ),758
(1999– ),731
(1999– ),741
(1999– ),762
(1997–2000),6
(1997–2000),12
(1978–1981),17
(1978–1981),14
(1978–1981),21
(1978–1981),13
(2006– ),0
(2006–2008),25
(2006–2007),0
(1999–2004),19
(1999–2004),24
(1997–2023),114
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1996– ),59
(1996– ),62
(1996– ),78
(1996– ),84
(1996– ),59
(1999– ),789
(1997–2000),6
(1999– ),749
(1999– ),729
(1999– ),828
(1999– ),805
(1999– ),728
(1996– ),58
(1996– ),108
(1996– ),113
(1996– ),115
(1999– ),725
(2004– ),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(2005– ),15
(2005– ),15
(2005– ),16
(2005– ),16
(2005– ),16
(2005– ),14
(2005–2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),12
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2005– ),0
(2005– ),7
(2005– ),8
(2005– ),0
(2005– ),0
(2005– ),0
(2005– ),0
(2005– ),7
(2005– ),0
(2005– ),0
(2005– ),0
(2005– ),15
(2005– ),20
(2005– ),0
(1998),86
(2000–2004),137
(2000–2004),129
(2000–2004),137
(2000–2004),146
(1999– ),713
(1999– ),729
(1999– ),727
(1999– ),726
(1999– ),697
(1996),0
(2000–2004),168
(2000–2004),143
(2000–2004),168
(2000–2004),148
(2000–2004),144
(2000–2004),141
(2000–2004),148
(1999– ),711
(2000),33
(2000),54
(2000),36
(2000),40
(2000–2004),139
(2000),36
(2000),34
(2005–2006),10
(2005–2006),10
(2005–2006),10
(2004–2005),0
(1997),76
(1997),62
(1997),67
(2003–2004),5
(2003–2004),0
(2003–2004),0
(2003–2004),0
(2003–2004),0
(2003–2004),0
(2003–2004),0
(2003–2004),0
(2003–2004),0
(1999–2003),23
(1999–2000),15
(1999–2000),15
(1999–2000),19
(1999–2000),18
(1999–2000),15
(1999–2000),15
(1999–2000),15
(1999–2000),16
(1999–2000),25
(1999–2000),15
(1999–2000),15
(1999–2000),15
(1999–2000),16
(1999–2000),15
(1999–2000),15
(1999–2000),15
(1999–2000),19
(1999–2000),16
(1999–2000),17
(1999–2000),15
(1999–2000),15
(1999–2000),16
(1999–2000),15
(1999–2000),23
(1999–2000),15
(2005–2006),10
(2005–2006),11
(2005–2006),11
(2005–2006),10
(2005–2006),10
(2005–2006),11
(2005–2006),10
(2005–2006),11
(2005–2006),11
(2005–2006),10
(2005–2006),10
(2005–2006),10
(2005–2006),10
(2005–2006),16
(2005–2006),10
(2005–2006),10
(2005–2006),10
(2005–2006),10
(1999–2000),31
(2005–2006),10
(2003–2004),0
(2005–2006),12
(2000),45
(2005–2006),10
(2000),33
(2004),0
(2005–2006),0
(1999– ),782
(1999– ),672
(1999– ),699
(1999– ),698
(1999– ),713
(1999– ),1173
(1999– ),741
(1999– ),633
(1999– ),2635
(1999– ),1699
(1999– ),824
(1999– ),2129
(1999– ),602
(1999– ),745
(1999– ),695
(1999– ),709
(1999– ),772
(1999– ),704
(2003–2006),64
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2002–2003),8
(2002–2003),12
(2002–2003),12
(2002–2003),8
(2002–2003),8
(2002–2003),7
(2002–2003),10
(2002–2003),11
(2000),34
(2000),43
(2000),34
(2000),33
(2005–2006),10
(2005–2006),11
(2005–2006),0
(2002–2003),12
(2002–2003),11
(2002–2003),11
(2002–2003),12
(2005–2006),0
(2002–2003),12
(2002–2003),11
(2002–2003),12
(2002–2003),7
(2002–2003),12
(2002–2003),10
(2002–2003),13
(2006–2007),6
(2006–2007),6
(2006–2007),4028
(1999– ),670
(2005–2006),20
(2005–2006),25
(2005–2006),24
(2005–2006),29
(2005–2006),30
(2005–2006),20
(2005–2006),24
(2005–2006),31
(2005–2006),27
(2005–2006),25
(2005–2006),22
(2005–2006),26
(2005–2006),30
(1999– ),621
(2001–2005),11
(2001–2005),0
(2001–2005),9
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2002–2003),8
(2005–2006),26
(2005–2006),20
(2005–2006),20
(2005–2006),20
(2005–2006),29
(2005–2006),23
(2002–2003),8
(2002–2003),12
(2005–2006),26
(2002–2003),12
(2002–2003),11
(2002–2003),12
(2005–2006),30
(2005–2006),21
(2005–2006),21
(2001–2005),0
(2001–2005),9
(2001–2005),12
(2001–2005),12
(2001–2005),9
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),14
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),11
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),10
(2001–2005),11
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),0
(2001–2005),10
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),13
(2001–2005),14
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),10
(2001–2005),17
(2001–2005),0
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),10
(2001–2005),10
(2001–2005),9
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),11
(2001–2005),0
(2001–2005),9
(2001–2005),10
(2001–2005),0
(2001–2005),11
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),9
(2001–2005),0
(2001–2005),10
(2001–2005),11
(2001–2005),0
(2001–2005),0
(2001–2005),12
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),11
(2001–2005),20
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),9
(2001–2005),11
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),10
(2001–2005),0
(2001–2005),9
(2001–2005),14
(2001–2005),12
(2001–2005),0
(2001–2005),15
(2001–2005),14
(2001–2005),10
(2001–2005),11
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),10
(2001–2005),9
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),9
(2001–2005),0
(2001–2005),15
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),0
(2001–2005),12
(2001–2005),12
(2001–2005),11
(2001–2005),9
(2001–2005),10
(2001–2005),11
(2001–2005),0
(2001–2005),30
(2001–2005),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006–2007),6
(2005– ),13
(2005– ),14
(2005– ),12
(2005– ),16
(2006–2007),0
(2004– ),0
(2005–2006),0
(2005–2006),0
(2005– ),13
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2007),8
(1999– ),609
(1999– ),2268
(1999– ),654
(1999– ),659
(1999– ),639
(1999– ),680
(1999– ),644
(1999– ),613
(1999– ),662
(1999– ),985
(1999– ),656
(1999– ),690
(1999– ),649
(1986–1989),240
(1986–1989),235
(1986–1989),222
(1986–1989),249
(1986–1989),212
(1986–1989),296
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(1999– ),657
(1999– ),2186
(1999– ),660
(2005–2006),0
(1999– ),635
(1999– ),660
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(1986–1989),189
(1986–1989),176
(1986–1989),166
(1986–1989),170
(1986–1989),166
(1986–1989),183
(1986–1989),176
(1986–1989),195
(1986–1989),184
(1986–1989),171
(1986–1989),187
(1986–1989),174
(1986–1989),203
(1986–1989),183
(1986–1989),200
(1986–1989),183
(2006–2007),5
(2006–2007),5
(2006–2007),5
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(2006–2007),5
(2006–2007),5
(2006–2007),5
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1996– ),107
(1996– ),78
(1996– ),78
(1996– ),55
(1996– ),107
(1996– ),58
(1998–1999),11
(1998–1999),11
(1998–1999),23
(1998–1999),11
(1998–1999),19
(1999– ),955
(1998–1999),13
(1998–1999),13
(1998–1999),11
(1998–1999),11
(1998–1999),17
(1998–1999),11
(1998–1999),13
(1998–1999),16
(1998–1999),11
(1998–1999),13
(1998–1999),11
(1998–1999),12
(1998–1999),15
(1998–1999),12
(1998–1999),11
(1998–1999),12
(1998–1999),0
(2005–2006),0
(2005–2006),8
(2005–2006),8
(2005–2006),6
(2005–2006),8
(2005–2006),0
(2005–2006),8
(2005–2006),6
(2005–2006),6
(2005–2006),9
(2005–2006),8
(2005–2006),8
(2005–2006),6
(2005–2006),7
(2005–2006),8
(2005–2006),0
(2007–2017),802
(2007–2017),687
(2007–2017),1054
(2007–2017),676
(2007–2017),723
(2007–2017),727
(1997–2000),0
(1997–2000),6
(1997–2000),0
(1997–2000),0
(1986–1989),126
(1998–1999),11
(1998–1999),11
(1998–1999),12
(1998–1999),11
(1998–1999),11
(1997–2000),6
(1997–2000),0
(1997–2000),6
(1997–2000),0
(1997–2000),0
(1997–2000),6
(1992–1997),63
(2006–2007),7923
(2006–2007),5559
(2006–2007),3934
(2006–2007),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(2006– ),0
(2006– ),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006– ),7
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006– ),0
(2006–2008),25
(2006–2008),23
(1999– ),1556
(1999– ),685
(2006–2008),28
(2005– ),6
(2005– ),7
(2005– ),5
(2005– ),6
(2005– ),5
(2005– ),5
(2005– ),6
(2005– ),6
(2005– ),5
(2005– ),5
(2005– ),5
(2005– ),5
(2005– ),5
(2003–2004),13
(2003–2004),12
(1996– ),113
(1996– ),112
(1996– ),66
(1996– ),78
(1996– ),77
(1996– ),58
(1999– ),678
(1999– ),1293
(1999– ),515
(1999– ),524
(1999– ),491
(1999– ),517
(1999– ),489
(1999– ),661
(1999– ),521
(1999– ),526
(2003–2004),12
(1999– ),3090
(2003–2004),12
(2003–2004),12
(2003–2004),12
(2003–2004),12
(2003–2004),12
(1999– ),2133
(2003–2004),12
(2003–2004),12
(2003–2004),15
(2003–2004),12
(1999– ),672
(2003–2004),12
(1999– ),544
(1999– ),1897
(1999– ),544
(2003–2004),12
(1986–1989),165
(1986–1989),164
(1986–1989),160
(1986–1989),166
(1986–1989),162
(1986–1989),166
(1986–1989),167
(1986–1989),163
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(2003),0
(1999– ),484
(1999– ),493
(1999– ),486
(1999– ),493
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2003),12
(2003–2006),77
(2003),12
(2003),12
(2003),12
(2003–2006),78
(2003),12
(2003),12
(2003),12
(2003),12
(2003),12
(2003),15
(2003),15
(2003),12
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2006),0
(2000–2001),8
(2000–2001),15
(2000–2001),7
(2000–2001),8
(2000–2001),8
(2000–2001),8
(2000–2001),7
(2000–2001),10
(2000–2001),0
(2000–2001),8
(2000–2001),7
(2000–2001),9
(2000–2001),7
(2005– ),8
(2005– ),8
(2005– ),16
(2005– ),12
(2005– ),8
(2005– ),8
(2005– ),13
(2005– ),0
(2005– ),9
(2005– ),9
(2005– ),11
(2005– ),0
(2005– ),9
(2005– ),11
(2005– ),0
(2005– ),12
(2005– ),12
(2005– ),9
(2005– ),0
(2005– ),20
(2005– ),13
(2005– ),11
(2005– ),0
(2005– ),0
(2005– ),9
(2005– ),12
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1980),0
(1986–1988),21
(1986–1988),24
(1986–1988),22
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1997),0
(1986–1988),22
(2007–2008),12
(2007–2008),10
(2003– ),21
(2003– ),16
(2003– ),17
(2003– ),17
(2003– ),17
(2003– ),17
(2003– ),17
(2003– ),17
(2003– ),18
(2003– ),18
(1999– ),641
(1999– ),571
(2006– ),0
(2005–2006),30
(2005–2006),30
(2005–2006),30
(2005–2006),32
(2005–2006),30
(2005–2006),32
(2005–2006),30
(2005–2006),33
(1986–1988),21
(2005–2006),0
(1999),0
(2005–2006),34
(2005–2006),29
(2005–2006),33
(2005–2006),31
(2005–2006),44
(2005–2006),28
(2005–2006),28
(2005–2006),28
(2005–2006),28
(2005–2006),28
(1980–1988),166
(2005–2006),28
(1999),0
(1999– ),590
(2005–2006),28
(1999),0
(2004– ),0
(2005–2006),32
(1994–1995),0
(1986–1988),18
(1986–1988),19
(1986–1988),19
(1986–1988),19
(1986–1988),20
(1986–1988),19
(2007–2017),642
(1986–1989),154
(1986–1989),155
(1986–1989),154
(1986–1989),149
(1986–1989),153
(1986–1989),151
(2006–2007),7
(1986–1989),152
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(1998),0
(2007–2008),6
(2007–2008),0
(2007–2008),0
(1986–1989),156
(1986–1989),153
(1986–1989),152
(1986–1989),150
(1986–1989),125
(2007),7
(2007),7
(2007),8
(2000–2004),91
(2006–2008),853
(2006–2008),963
(2006–2008),900
(2006–2008),1004
(2006–2008),1094
(2006–2008),842
(2006–2008),873
(2006–2008),860
(2006–2008),966
(2006–2008),855
(2006–2008),901
(2006–2008),835
(2006–2008),945
(2006–2008),920
(2006–2008),1250
(2006–2008),938
(2006–2008),908
(2006–2008),892
(2006–2008),1031
(2006–2008),896
(2006–2008),956
(1980–1981),48
(1999– ),612
(1999– ),616
(1999– ),547
(1999– ),645
(1999– ),2612
(1999– ),566
(1999– ),557
(1986–1989),118
(1986–1989),116
(1986–1989),138
(1986–1989),127
(1986–1989),126
(1986–1989),117
(1986–1989),127
(1986–1989),127
(1986–1989),122
(1986–1989),126
(1986–1989),130
(1986–1989),130
(1986–1989),126
(1986–1989),122
(1986–1989),123
(1986–1989),127
(2007),483
(1998),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1986–1989),123
(1986–1989),119
(1986–1989),123
(1986–1989),123
(1986–1989),125
(1986–1989),127
(1986–1989),118
(1986–1989),119
(1986–1989),126
(1986–1989),127
(1986–1989),132
(1986–1989),119
(1986–1989),131
(1986–1989),129
(1986–1989),124
(1986–1989),124
(1998–1999),0
(1998–1999),0
(1986–1989),120
(1986–1989),122
(1986–1989),117
(1986–1989),129
(1986–1989),123
(1986–1989),131
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(2016–2022),932
(2016–2022),1163
(2008),0
(2008),0
(2004–2005),0
(1996– ),86
(1996– ),87
(1996– ),88
(1996– ),81
(1996– ),82
(2017–2019),14
(2006),14
(2006),16
(2006),18
(2006),15
(2006),15
(2006),14
(2006),15
(2006),16
(2006),15
(2006),22
(2006),16
(2004),0
(2004–2005),0
(1996– ),84
(1996– ),84
(1996– ),48
(1996– ),77
(1996– ),78
(1996– ),108
(1996– ),71
(2006),16
(2006),14
(2006),15
(2006),15
(2006),13
(2006),13
(2000–2004),127
(2000–2004),138
(2000–2004),122
(1998–1999),0
(2008),0
(2000–2004),133
(2006),13
(2006),14
(2006),13
(2006),14
(2006),15
(2006),14
(2006),13
(2006),13
(2006),14
(2013–2023),51501
(2013–2023),20847
(2012– ),823
(2017–2019),14
(2017–2019),14
(2017–2019),15
(2017–2019),13
(2017–2019),14
(2017–2019),15
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2017– ),235
(2013–2023),43126
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2014),6
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2006–2007),0
(2004–2005),0
(2004– ),0
(1996– ),73
(1996– ),70
(1999– ),539
(1999– ),539
(1999– ),544
(1999– ),536
(1999– ),533
(1999– ),526
(1999– ),543
(1999– ),533
(1999– ),527
(1999– ),556
(1999– ),556
(1999– ),540
(1999– ),536
(1999– ),583
(1999– ),548
(1999– ),539
(2004–2005),0
(1986–1989),147
(2019– ),0
(1997–2023),62
(2012– ),942
(2013–2023),26463
(2013–2023),22324
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2019– ),355
(2019– ),0
(2019– ),417
(2019– ),334
(2019– ),345
(2019– ),335
(2019– ),619
(2019– ),349
(2019– ),357
(2019– ),346
(2019– ),393
(2019– ),359
(2019– ),351
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2017– ),241
(2017– ),233
(2006–2007),3667
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(1986–1989),147
(2019– ),443
(1986–1989),146
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2005–2006),0
(2004–2005),0
(2016–2022),1179
(1996– ),100
(2004–2005),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1978–1979),0
(1999– ),568
(1999– ),1770
(1999– ),552
(1999– ),559
(1999– ),588
(1999– ),593
(1982),0
(1982),0
(1982),0
(1999– ),1785
(1999– ),568
(1999– ),564
(1999– ),867
(1999– ),555
(1999– ),554
(1999– ),589
(1999– ),1753
(1999– ),556
(1999– ),576
(1999– ),2014
(1999– ),1780
(1999– ),574
(1999– ),536
(1999– ),582
(1999– ),613
(1999– ),618
(1999– ),583
(1999– ),1278
(1999– ),586
(1986–1989),154
(1986–1989),147
(1986–1989),151
(1986–1989),145
(1986–1989),142
(1986–1989),150
(1986–1989),151
(1986–1989),142
(1986–1989),151
(1986–1989),158
(1986–1989),146
(1986–1989),146
(1986–1989),153
(1986–1989),153
(1986–1989),144
(1986–1989),150
(1986–1989),152
(1986–1989),147
(1981–1982),9
(1981–1982),9
(1981–1982),9
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1978–1979),0
(1978–1979),0
(1978–1979),0
(2019–2021),1650
(2012– ),1090
(2006–2007),3582
(2004–2005),0
(1999– ),450
(1999– ),474
(1999– ),457
(1986–1989),146
(1986–1989),161
(1986–1989),150
(1986–1989),146
(1986–1989),145
(1986–1989),159
(1986–1989),150
(1986–1989),151
(1986–1989),143
(1986–1989),155
(1986–1989),154
(1986–1989),146
(1999– ),445
(1999– ),465
(1999– ),461
(1999– ),474
(1999– ),444
(1999– ),454
(1999– ),447
(1999– ),466
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2016–2022),968
(2004–2005),0
(2004–2005),0
(2004–2005),0
(2019–2023),144
(2019–2023),125
(2019–2023),120
(2019–2023),114
(2019–2023),107
(2019–2023),101
(2019–2023),102
(2019–2023),97
(2019–2023),100
(2019–2023),97
(2019–2023),98
(2019–2023),115
(1999– ),513
(1999– ),501
(1999– ),491
(1999– ),495
(1999– ),502
(1999– ),495
(2017– ),228
(2018– ),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(1979–1980),0
(2004–2005),0
(2012– ),1435
(2017– ),233
(2004–2005),0
(1992–1997),59
(1992–1997),51
(1996– ),74
(1996– ),74
(1996– ),72
(1996– ),82
(1996– ),48
(1996– ),75
(1996– ),75
(1996– ),49
(1996– ),73
(1996– ),73
(1996– ),50
(1996– ),86
(1996– ),73
(1996– ),73
(1996– ),56
(1996– ),54
(1996– ),85
(1996– ),88
(1999– ),468
(1999– ),565
(1992–1997),101
(1992–1997),113
(1992–1997),106
(1996– ),75
(1996– ),78
(1996– ),61
(1996– ),60
(1996– ),61
(1996– ),81
(1996– ),62
(1996– ),51
(1996– ),49
(1996– ),84
(1986–1988),16
(1986–1988),16
(1986–1988),17
(1986–1988),19
(1986–1988),18
(1986–1988),17
(1986–1988),18
(1986–1988),16
(1986–1988),17
(1986–1988),19
(1986–1988),19
(1986–1988),16
(1986–1988),16
(1986–1988),16
(1986–1988),19
(1986–1988),16
(1999– ),463
(1999– ),498
(1999– ),482
(1999– ),494
(1999– ),421
(1999– ),487
(1999– ),412
(1999– ),476
(1999– ),412
(1992–1997),121
(1992–1997),58
